model,Q50,Q5.5,Q94.5,Q2.5,Q97.5,performance,data,outcome
model8,0.853658537,0.81300813,0.894308943,0.800813008,0.902439024,sensitivity,training,HIV/HCV
model9,0.853658537,0.808943089,0.894308943,0.796747967,0.902439024,sensitivity,training,HIV/HCV
ref,0.853658537,0.804878049,0.894308943,0.796747967,0.902439024,sensitivity,training,HIV/HCV
model1,0.277777778,0.185185185,0.388888889,0.148148148,0.425925926,specificity,training,HIV/HCV
model2,0.314814815,0.203703704,0.425925926,0.184722222,0.444907407,specificity,training,HIV/HCV
model3,0.333333333,0.222222222,0.444444444,0.185185185,0.481481481,specificity,training,HIV/HCV
model4,0.333333333,0.222222222,0.444444444,0.203240741,0.481481481,specificity,training,HIV/HCV
model5,0.351851852,0.240740741,0.462962963,0.203703704,0.481481481,specificity,training,HIV/HCV
model6,0.351851852,0.222222222,0.462962963,0.203703704,0.481481481,specificity,training,HIV/HCV
model7,0.351851852,0.240740741,0.462962963,0.222222222,0.5,specificity,training,HIV/HCV
model8,0.342592593,0.222222222,0.462962963,0.203703704,0.481481481,specificity,training,HIV/HCV
model9,0.333333333,0.222222222,0.462962963,0.203703704,0.481481481,specificity,training,HIV/HCV
ref,0.333333333,0.222222222,0.444444444,0.185185185,0.481481481,specificity,training,HIV/HCV
model1,0.729223126,0.729223126,0.729223126,0.729223126,0.729223126,auc,training,HIV/HCV
model2,0.783611864,0.774202048,0.786547727,0.755307136,0.789182475,auc,training,HIV/HCV
model3,0.799984944,0.772061503,0.808792532,0.75729449,0.810523939,auc,training,HIV/HCV
model4,0.800662451,0.774013851,0.809620596,0.763920882,0.811276724,auc,training,HIV/HCV
model5,0.813986751,0.793055179,0.82324601,0.785523939,0.825353809,auc,training,HIV/HCV
model6,0.821589883,0.799980804,0.831681346,0.793209877,0.833636329,auc,training,HIV/HCV
model7,0.823133092,0.80016486,0.834801265,0.792859831,0.836683228,auc,training,HIV/HCV
model8,0.820874737,0.798287037,0.834353734,0.787810524,0.836532671,auc,training,HIV/HCV
model9,0.817863595,0.794146718,0.832618187,0.783000226,0.834878425,auc,training,HIV/HCV
ref,0.810523939,0.776439702,0.833902063,0.767349819,0.83721206,auc,training,HIV/HCV
model1,0.845528455,0.792682927,0.886178862,0.784552846,0.894308943,sensitivity,training,HIV/HCV
model2,0.849593496,0.800813008,0.890243902,0.788617886,0.902439024,sensitivity,training,HIV/HCV
model3,0.853658537,0.804878049,0.894308943,0.792682927,0.902439024,sensitivity,training,HIV/HCV
model4,0.853658537,0.804878049,0.894308943,0.796747967,0.906504065,sensitivity,training,HIV/HCV
model5,0.857723577,0.808943089,0.898373984,0.800813008,0.902439024,sensitivity,training,HIV/HCV
model6,0.857723577,0.808943089,0.898373984,0.800813008,0.902439024,sensitivity,training,HIV/HCV
model7,0.857723577,0.812784553,0.898373984,0.800813008,0.906504065,sensitivity,training,HIV/HCV
model8,0.853658537,0.81300813,0.894308943,0.800813008,0.902439024,sensitivity,training,HIV/HCV
model9,0.853658537,0.808943089,0.894308943,0.796747967,0.902439024,sensitivity,training,HIV/HCV
ref,0.853658537,0.804878049,0.894308943,0.796747967,0.902439024,sensitivity,training,HIV/HCV
model1,0.277777778,0.185185185,0.388888889,0.148148148,0.425925926,specificity,training,HIV/HCV
model2,0.314814815,0.203703704,0.425925926,0.184722222,0.444907407,specificity,training,HIV/HCV
model3,0.333333333,0.222222222,0.444444444,0.185185185,0.481481481,specificity,training,HIV/HCV
model4,0.333333333,0.222222222,0.444444444,0.203240741,0.481481481,specificity,training,HIV/HCV
model5,0.351851852,0.240740741,0.462962963,0.203703704,0.481481481,specificity,training,HIV/HCV
model6,0.351851852,0.222222222,0.462962963,0.203703704,0.481481481,specificity,training,HIV/HCV
model7,0.351851852,0.240740741,0.462962963,0.222222222,0.5,specificity,training,HIV/HCV
model8,0.342592593,0.222222222,0.462962963,0.203703704,0.481481481,specificity,training,HIV/HCV
model9,0.333333333,0.222222222,0.462962963,0.203703704,0.481481481,specificity,training,HIV/HCV
ref,0.333333333,0.222222222,0.444444444,0.185185185,0.481481481,specificity,training,HIV/HCV
model1,0.729223126,0.729223126,0.729223126,0.729223126,0.729223126,auc,training,HIV/HCV
model2,0.783611864,0.774202048,0.786547727,0.755307136,0.789182475,auc,training,HIV/HCV
model3,0.799984944,0.772061503,0.808792532,0.75729449,0.810523939,auc,training,HIV/HCV
model4,0.800662451,0.774013851,0.809620596,0.763920882,0.811276724,auc,training,HIV/HCV
model5,0.813986751,0.793055179,0.82324601,0.785523939,0.825353809,auc,training,HIV/HCV
model6,0.821589883,0.799980804,0.831681346,0.793209877,0.833636329,auc,training,HIV/HCV
model7,0.823133092,0.80016486,0.834801265,0.792859831,0.836683228,auc,training,HIV/HCV
model8,0.820874737,0.798287037,0.834353734,0.787810524,0.836532671,auc,training,HIV/HCV
model9,0.817863595,0.794146718,0.832618187,0.783000226,0.834878425,auc,training,HIV/HCV
ref,0.810523939,0.776439702,0.833902063,0.767349819,0.83721206,auc,training,HIV/HCV
model1,0.879807692,0.831730769,0.918269231,0.822115385,0.927884615,sensitivity,training,cc
model2,0.879807692,0.826923077,0.918269231,0.817307692,0.927884615,sensitivity,training,cc
model3,0.884615385,0.836538462,0.923076923,0.822115385,0.932692308,sensitivity,training,cc
model4,0.884615385,0.831730769,0.923076923,0.817307692,0.932692308,sensitivity,training,cc
model5,0.884615385,0.836538462,0.923076923,0.826923077,0.932692308,sensitivity,training,cc
model6,0.884615385,0.841346154,0.923076923,0.831730769,0.932692308,sensitivity,training,cc
model7,0.884615385,0.836538462,0.923076923,0.826923077,0.932692308,sensitivity,training,cc
model8,0.884615385,0.841346154,0.927884615,0.826923077,0.932692308,sensitivity,training,cc
