"model","Q50","Q5.5","Q94.5","Q2.5","Q97.5","performance","data","outcome"
"model4",0.30952380952381,0.19047619047619,0.452380952380952,0.166666666666667,0.476190476190476,"specificity","training","HCV"
"model5",0.30952380952381,0.19047619047619,0.452380952380952,0.166666666666667,0.476190476190476,"specificity","training","HCV"
"model6",0.30952380952381,0.19047619047619,0.452380952380952,0.166666666666667,0.476190476190476,"specificity","training","HCV"
"model7",0.30952380952381,0.19047619047619,0.452380952380952,0.166666666666667,0.476190476190476,"specificity","training","HCV"
"model8",0.30952380952381,0.19047619047619,0.452380952380952,0.166666666666667,0.476190476190476,"specificity","training","HCV"
"model9",0.30952380952381,0.19047619047619,0.452380952380952,0.166666666666667,0.476190476190476,"specificity","training","HCV"
"ref",0.30952380952381,0.19047619047619,0.452380952380952,0.166666666666667,0.476190476190476,"specificity","training","HCV"
"model1",0.800664451827243,0.800664451827243,0.800664451827243,0.800664451827243,0.800664451827243,"auc","training","HCV"
"model2",0.83093392395718,0.770394979697305,0.836840162421558,0.764488741232927,0.836840162421558,"auc","training","HCV"
"model3",0.828303802141011,0.781607604282023,0.853405315614618,0.773025101513474,0.853405315614618,"auc","training","HCV"
"model4",0.84265411590993,0.78359173126615,0.852897748246585,0.774340162421558,0.853266888150609,"auc","training","HCV"
"model5",0.844592100406054,0.787918973791067,0.854656238464378,0.778679863418235,0.857142857142857,"auc","training","HCV"
"model6",0.835594315245478,0.789539036544851,0.8531284606866,0.778647563676633,0.854974160206718,"auc","training","HCV"
"model7",0.832641196013289,0.790651531930602,0.854430601698044,0.782156699889258,0.857558139534884,"auc","training","HCV"
"model8",0.834763750461425,0.790508028792912,0.856599298634182,0.779415836101883,0.859918327796235,"auc","training","HCV"
"model9",0.831533776301218,0.785483573274271,0.856450719822813,0.775050756736803,0.860326688815061,"auc","training","HCV"
"ref",0.827519379844961,0.788205980066445,0.854563953488372,0.780721668512366,0.859274640088594,"auc","training","HCV"
"model1",0.957894736842105,0.929824561403509,0.978947368421053,0.92280701754386,0.982456140350877,"sensitivity","training","HIV/S"
"model2",0.957894736842105,0.929824561403509,0.978947368421053,0.919298245614035,0.982456140350877,"sensitivity","training","HIV/S"
"model3",0.957894736842105,0.929824561403509,0.978947368421053,0.92280701754386,0.982456140350877,"sensitivity","training","HIV/S"
"model4",0.957894736842105,0.929824561403509,0.978947368421053,0.92280701754386,0.982456140350877,"sensitivity","training","HIV/S"
"model5",0.957894736842105,0.929824561403509,0.978947368421053,0.92280701754386,0.982456140350877,"sensitivity","training","HIV/S"
"model6",0.957894736842105,0.929824561403509,0.978947368421053,0.92280701754386,0.982456140350877,"sensitivity","training","HIV/S"
